"id","title","summary","venue","year","authors","citationCount","referenceCount","influentialCitationCount","url"
"cabb0a468af8184e0e930841435b65679b580521","Numeral Understanding in Financial Tweets for Fine-Grained Crowd-Based Forecasting","This work is the first attempt to understand numerals in financial social media data, and it provides the first comparison of fine-grained opinion of individual investors and analysts based on their forecast price.","International Conference on Wirtschaftsinformatik",2018,"Chung-Chi Chen,Hen-Hsen Huang,Yow-Ting Shiue,Hsin-Hsi Chen",39,22,0,"https://www.semanticscholar.org/paper/cabb0a468af8184e0e930841435b65679b580521"
"c8efcc854d97dfc2a42b83316a2109f9d166e43f","Self-Attention with Relative Position Representations","This work presents an alternative approach, extending the self-attention mechanism to efficiently consider representations of the relative positions, or distances between sequence elements, on the WMT 2014 English-to-German and English- to-French translation tasks.","North American Chapter of the Association for Computational Linguistics",2018,"Peter Shaw,Jakob Uszkoreit,Ashish Vaswani",1557,15,176,"https://www.semanticscholar.org/paper/c8efcc854d97dfc2a42b83316a2109f9d166e43f"
"81b4920ad488affaee27389ff9540b7fea90a4ce","“Going on a vacation” takes longer than “Going for a walk”: A Study of Temporal Commonsense Understanding","It is found that the best current methods used on MCTACO are still far behind human performance, by about 20%, and several directions for improvement are discussed.","Conference on Empirical Methods in Natural Language Processing",2019,"Ben Zhou,Daniel Khashabi,Qiang Ning,D. Roth",130,36,18,"https://www.semanticscholar.org/paper/81b4920ad488affaee27389ff9540b7fea90a4ce"
"b626754a0fd7de12c87e88165b2484ac5d98212a","Decoupling Strategy and Generation in Negotiation Dialogues","A modular approach based on coarse dialogue acts (e.g., propose(price=50)) that decouples strategy and generation that can flexibly set the strategy using supervised learning, reinforcement learning, or domain-specific knowledge without degeneracy is proposed.","Conference on Empirical Methods in Natural Language Processing",2018,"He He,Derek Chen,Anusha Balakrishnan,Percy Liang",99,33,26,"https://www.semanticscholar.org/paper/b626754a0fd7de12c87e88165b2484ac5d98212a"
"d88f31a0091eee02c5a2aa2013914818cdef114e","Enhancing the Transformer with Explicit Relational Encoding for Math Problem Solving","The TP-Transformer's attention maps give better insights into how it is capable of solving the Mathematics Dataset's challenging problems, and incorporates Tensor-Product Representations within the Transformer in order to better support the explicit representation of relation structure.","ArXiv",2019,"Imanol Schlag,P. Smolensky,Roland Fernandez,N. Jojic,J. Schmidhuber,Jianfeng Gao",40,29,1,"https://www.semanticscholar.org/paper/d88f31a0091eee02c5a2aa2013914818cdef114e"
"5e0cffc51e8b64a8f11326f955fa4b4f1803e3be","oLMpics-On What Language Model Pre-training Captures","This work proposes eight reasoning tasks, which conceptually require operations such as comparison, conjunction, and composition, and findings can help future work on designing new datasets, models, and objective functions for pre-training.","Transactions of the Association for Computational Linguistics",2019,"Alon Talmor,Yanai Elazar,Yoav Goldberg,Jonathan Berant",245,61,23,"https://www.semanticscholar.org/paper/5e0cffc51e8b64a8f11326f955fa4b4f1803e3be"
"e081dfa64e5ed12fe15fc885ec82ef1f35ab9830","iNALU: Improved Neural Arithmetic Logic Unit","An in-depth analysis reveals practical shortcomings by design, such as the inability to multiply or divide negative input values or training stability issues for deeper networks, and proposes an improved model architecture that solves stability issues and outperforms the original NALU model in means of arithmetic precision and convergence.","Frontiers in Artificial Intelligence",2020,"Daniel Schlör,Markus Ring,A. Hotho",11,20,0,"https://www.semanticscholar.org/paper/e081dfa64e5ed12fe15fc885ec82ef1f35ab9830"
"716efab73e1916fdc2a23727b581d200271ed499","BERT in Negotiations: Early Prediction of Buyer-Seller Negotiation Outcomes","This model is able to predict a negotiation's outcome within 10% for more than 70% of the cases, and suggests that rather than just being a way to realize a negotiation, natural language should be incorporated in the negotiation planning as well.","ArXiv",2020,"Kushal Chawla,Gale M. Lucas,J. Gratch,Jonathan May",3,15,0,"https://www.semanticscholar.org/paper/716efab73e1916fdc2a23727b581d200271ed499"
"4599f96dd1a2584e00d342953fc7e1361ffd6e1f","Neural Status Registers","The Neural Status Register is introduced, inspired by physical Status Registers, and at the heart of the NSR are arithmetic comparisons between inputs that allow end-to-end differentiation and learns such comparisons reliably.","ArXiv",2020,"Lukas Faber,Roger Wattenhofer",6,58,1,"https://www.semanticscholar.org/paper/4599f96dd1a2584e00d342953fc7e1361ffd6e1f"
"45e5d7637a585a87d967a4a357d17c5d89aecea2","A Formal Hierarchy of RNN Architectures","It is hypothesized that the practical learnable capacity of unsaturated RNNs obeys a similar hierarchy, and empirical results to support this conjecture are provided.","Annual Meeting of the Association for Computational Linguistics",2020,"William Cooper Merrill,Gail Weiss,Yoav Goldberg,Roy Schwartz,Noah A. Smith,Eran Yahav",40,30,1,"https://www.semanticscholar.org/paper/45e5d7637a585a87d967a4a357d17c5d89aecea2"
